"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Bahamas,37491,0.0,833.0,0.0,36366.0,0.0,292.0,93607.0,2080.0,257839.0,643767.0,400516.0,North America,09-03-2023
Lesotho,34790,0.0,723.0,0.0,25980.0,0.0,8087.0,15990.0,332.0,431221.0,198199.0,2175699.0,Africa,09-03-2023
Faeroe Islands,34658,0.0,28.0,0.0,,,,703959.0,569.0,778000.0,15802409.0,49233.0,Europe,09-03-2023
Haiti,34202,0.0,860.0,0.0,33052.0,0.0,290.0,2928.0,74.0,132422.0,11337.0,11680283.0,North America,09-03-2023
Mali,33062,1.0,743.0,0.0,32199.0,9.0,120.0,1540.0,35.0,797273.0,37128.0,21473764.0,Africa,09-03-2023
Cayman Islands,31472,0.0,37.0,0.0,8553.0,0.0,22882.0,467797.0,550.0,222773.0,3311280.0,67277.0,North America,09-03-2023
Saint Lucia,30004,0.0,409.0,0.0,29095.0,0.0,500.0,162085.0,2209.0,210983.0,1139752.0,185113.0,North America,09-03-2023
Benin,27999,0.0,163.0,0.0,27830.0,0.0,6.0,2190.0,13.0,604310.0,47268.0,12784726.0,Africa,09-03-2023
Somalia,27324,0.0,1361.0,0.0,13182.0,0.0,12781.0,1622.0,81.0,400466.0,23778.0,16841795.0,Africa,09-03-2023
Congo,25375,0.0,386.0,0.0,24006.0,0.0,983.0,4377.0,67.0,347815.0,59991.0,5797805.0,Africa,09-03-2023
Solomon Islands,24575,0.0,153.0,0.0,,,,34077.0,212.0,0.0,0.0,721159.0,Australia/Oceania,09-03-2023
Micronesia,23948,0.0,61.0,0.0,,,,203832.0,519.0,54967.0,467848.0,117489.0,Australia/Oceania,09-03-2023
San Marino,23616,0.0,122.0,0.0,23471.0,0.0,23.0,692856.0,3579.0,157634.0,4624732.0,34085.0,Europe,09-03-2023
Timor-Leste,23419,0.0,138.0,0.0,23102.0,0.0,179.0,17101.0,101.0,278529.0,203391.0,1369429.0,Asia,09-03-2023
Burkina Faso,22056,0.0,396.0,0.0,21596.0,0.0,64.0,998.0,18.0,248995.0,11265.0,22102838.0,Africa,09-03-2023
Liechtenstein,21431,0.0,89.0,0.0,21324.0,4.0,18.0,558288.0,2318.0,112457.0,2929559.0,38387.0,Europe,09-03-2023
Gibraltar,20433,0.0,111.0,0.0,16579.0,0.0,3743.0,606249.0,3293.0,534283.0,15852213.0,33704.0,Europe,09-03-2023
Grenada,19680,0.0,238.0,0.0,19358.0,0.0,84.0,173430.0,2097.0,182981.0,1612523.0,113475.0,North America,09-03-2023
Bermuda,18828,0.0,160.0,0.0,18653.0,0.0,15.0,303976.0,2583.0,1028312.0,16602012.0,61939.0,North America,09-03-2023
Nicaragua,18491,0.0,225.0,0.0,4225.0,0.0,14041.0,2728.0,33.0,0.0,0.0,6779100.0,North America,09-03-2023
South Sudan,18368,0.0,138.0,0.0,18115.0,0.0,115.0,1581.0,12.0,410280.0,35313.0,11618511.0,Africa,09-03-2023
